"ITTER107","Territorio","TIPO_DATO35","Tipo dato","REATI_PS","Tipo di delitto","RIF_TIME","Periodo del commesso delitto","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","BLOWS","percosse","YRDUR","durante l'anno di riferimento","2008","2008",15288,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","BLOWS","percosse","YRDUR","durante l'anno di riferimento","2009","2009",15205,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","BLOWS","percosse","YRDUR","durante l'anno di riferimento","2010","2010",14270,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","BLOWS","percosse","YRDUR","durante l'anno di riferimento","2011","2011",15196,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","BLOWS","percosse","YRDUR","durante l'anno di riferimento","2012","2012",15659,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","BLOWS","percosse","YRDUR","durante l'anno di riferimento","2013","2013",15606,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","BLOWS","percosse","YRDUR","durante l'anno di riferimento","2014","2014",15285,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","BLOWS","percosse","YRDUR","durante l'anno di riferimento","2015","2015",15249,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","BLOWS","percosse","YRDUR","durante l'anno di riferimento","2016","2016",13819,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","BLOWS","percosse","YRDUR","durante l'anno di riferimento","2017","2017",14142,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","BLOWS","percosse","YRDUR","durante l'anno di riferimento","2018","2018",13944,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","BLOWS","percosse","YRDUR","durante l'anno di riferimento","2019","2019",14395,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","CULPINJU","lesioni dolose","YRDUR","durante l'anno di riferimento","2006","2006",59143,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","CULPINJU","lesioni dolose","YRDUR","durante l'anno di riferimento","2007","2007",63602,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","CULPINJU","lesioni dolose","YRDUR","durante l'anno di riferimento","2008","2008",65791,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","CULPINJU","lesioni dolose","YRDUR","durante l'anno di riferimento","2009","2009",65611,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","CULPINJU","lesioni dolose","YRDUR","durante l'anno di riferimento","2010","2010",64866,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","CULPINJU","lesioni dolose","YRDUR","durante l'anno di riferimento","2011","2011",68500,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","CULPINJU","lesioni dolose","YRDUR","durante l'anno di riferimento","2012","2012",69527,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","CULPINJU","lesioni dolose","YRDUR","durante l'anno di riferimento","2013","2013",66317,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","CULPINJU","lesioni dolose","YRDUR","durante l'anno di riferimento","2014","2014",66178,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","CULPINJU","lesioni dolose","YRDUR","durante l'anno di riferimento","2015","2015",64042,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","CULPINJU","lesioni dolose","YRDUR","durante l'anno di riferimento","2016","2016",63153,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","CULPINJU","lesioni dolose","YRDUR","durante l'anno di riferimento","2017","2017",64814,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","CULPINJU","lesioni dolose","YRDUR","durante l'anno di riferimento","2018","2018",65382,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","CULPINJU","lesioni dolose","YRDUR","durante l'anno di riferimento","2019","2019",64891,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","MENACE","minacce","YRDUR","durante l'anno di riferimento","2006","2006",71856,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","MENACE","minacce","YRDUR","durante l'anno di riferimento","2007","2007",81073,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","MENACE","minacce","YRDUR","durante l'anno di riferimento","2008","2008",83580,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","MENACE","minacce","YRDUR","durante l'anno di riferimento","2009","2009",83483,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","MENACE","minacce","YRDUR","durante l'anno di riferimento","2010","2010",81164,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","MENACE","minacce","YRDUR","durante l'anno di riferimento","2011","2011",83316,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","MENACE","minacce","YRDUR","durante l'anno di riferimento","2012","2012",86347,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","MENACE","minacce","YRDUR","durante l'anno di riferimento","2013","2013",86294,,
